fuel_log_id,vehicle_id,log_date,liters,price_per_liter_azn,total_cost_azn,odometer_km
1,45,2025-02-05,77.3,1.48,114.4,27118
2,44,2025-09-13,29.7,1.18,35.05,25262
3,43,2025-03-20,70.1,1.47,103.05,23972
4,29,2025-11-03,53.5,1.24,66.34,35130
5,45,2025-08-03,58.1,1.47,85.41,23867
6,45,2025-10-02,61.6,1.55,95.48,7472
7,50,2025-05-08,66.0,1.21,79.86,53636
8,40,2025-01-23,59.4,1.39,82.57,61526
9,26,2025-06-19,87.6,1.26,110.38,18362
10,7,2025-05-13,35.5,1.45,51.48,51622
11,38,2025-12-19,60.3,1.27,76.58,43844
12,30,2025-12-14,61.2,1.3,79.56,38513
13,2,2025-09-05,27.3,1.25,34.12,6602
14,8,2025-03-14,44.4,1.21,53.72,63247
15,14,2025-09-24,53.8,1.29,69.4,45073
16,47,2025-12-23,51.7,1.04,53.77,8097
17,46,2025-02-28,21.6,1.21,26.14,15857
18,44,2025-03-26,85.1,1.44,122.54,42519
19,12,2025-10-10,31.2,1.34,41.81,48531
20,15,2025-07-27,64.1,1.11,71.15,51158
21,28,2025-07-22,22.0,1.37,30.14,32208
22,29,2025-10-31,50.1,1.0,50.1,16005
23,14,2025-05-23,72.7,1.49,108.32,20458
24,37,2025-02-22,76.0,1.32,100.32,24042
25,21,2025-04-11,52.0,1.16,60.32,60019
26,32,2025-09-28,87.6,1.19,104.24,38939
27,40,2025-07-20,61.1,1.21,73.93,74553
28,30,2025-11-13,32.1,1.4,44.94,68374
29,20,2025-11-11,61.3,1.4,85.82,34770
30,8,2025-05-03,41.4,1.11,45.95,57295
31,10,2025-09-19,47.2,1.36,64.19,49624
32,25,2025-08-05,33.0,1.38,45.54,61018
33,42,2025-03-30,58.8,1.29,75.85,27861
34,12,2025-06-11,78.9,1.37,108.09,74972
35,23,2025-01-05,53.9,1.12,60.37,25800
36,36,2025-09-16,65.7,1.25,82.12,45542
37,27,2025-12-30,78.8,1.29,101.65,22376
38,37,2025-01-16,75.7,1.13,85.54,2212
39,18,2025-04-26,57.6,1.1,63.36,42475
40,37,2025-09-11,58.5,1.07,62.6,7554
41,18,2025-10-06,77.6,1.22,94.67,66414
42,49,2025-01-22,73.2,1.26,92.23,17829
43,28,2025-02-22,71.5,1.39,99.38,35499
44,20,2025-01-17,51.5,1.21,62.31,67771
45,6,2025-08-13,80.6,1.07,86.24,56376
46,16,2025-04-18,76.7,1.35,103.55,36065
47,46,2025-11-09,64.3,1.1,70.73,17814
48,14,2025-04-16,76.4,1.34,102.38,51241
49,18,2025-11-02,57.7,1.19,68.66,58644
50,19,2025-05-29,60.1,1.57,94.36,37465
51,44,2025-02-18,29.5,1.45,42.77,35677
52,4,2025-05-22,80.7,1.08,87.16,76068
53,9,2025-05-08,30.2,1.19,35.94,18837
54,49,2025-12-13,47.5,1.09,51.78,44952
55,18,2025-11-18,49.0,1.27,62.23,54029
56,50,2025-02-17,48.2,1.45,69.89,56763
57,24,2025-08-21,86.5,1.2,103.8,18753
58,50,2025-02-17,71.2,1.28,91.14,54760
59,45,2025-07-03,79.5,1.48,117.66,26369
60,14,2025-08-08,77.7,1.3,101.01,37517
61,19,2025-06-22,58.3,1.08,62.96,59617
62,32,2025-06-25,82.6,1.46,120.6,16480
63,7,2025-11-17,74.9,1.28,95.87,23196
64,11,2025-08-14,52.0,1.6,83.2,33643
65,13,2025-12-19,83.7,1.53,128.06,32928
66,11,2025-05-21,26.5,1.22,32.33,11008
67,24,2025-12-07,83.3,1.1,91.63,44565
68,41,2025-06-06,70.8,1.45,102.66,30755
69,42,2025-02-16,69.3,1.0,69.3,49915
70,5,2025-03-09,61.6,1.31,80.7,38272
71,1,2025-01-05,68.7,1.49,102.36,59741
72,28,2025-12-22,29.3,1.04,30.47,44381
73,6,2025-02-22,27.2,1.22,33.18,22780
74,9,2025-07-15,74.1,1.45,107.44,11339
75,42,2025-12-13,30.0,1.32,39.6,19222
76,40,2025-11-29,31.5,1.21,38.12,33104
77,41,2025-03-19,84.4,1.37,115.63,31617
78,14,2025-02-14,82.8,1.08,89.42,24429
79,38,2025-07-16,44.6,1.26,56.2,70055
80,9,2025-05-07,39.4,1.05,41.37,38881
81,39,2025-11-04,70.5,1.17,82.48,47167
82,2,2025-12-04,81.3,1.12,91.06,40751
83,33,2025-04-07,72.3,1.18,85.31,14694
84,16,2025-09-11,47.0,1.14,53.58,54904
85,39,2025-02-06,57.0,1.59,90.63,25580
86,21,2025-03-09,47.1,1.5,70.65,31067
87,24,2025-10-07,67.8,1.46,98.99,69077
88,5,2025-01-09,61.1,1.01,61.71,23243
89,3,2025-01-31,86.4,1.24,107.14,25290
90,41,2025-12-31,55.1,1.25,68.88,48618
91,26,2025-02-12,64.8,1.32,85.54,27677
92,18,2025-02-12,41.7,1.31,54.63,25820
93,10,2025-10-02,42.9,1.35,57.91,61972
94,42,2025-12-15,65.0,1.19,77.35,47338
95,47,2025-05-03,24.1,1.05,25.31,33643
96,8,2025-08-21,62.9,1.03,64.79,55502
97,48,2025-12-03,71.8,1.07,76.83,64565
98,9,2025-12-26,20.8,1.3,27.04,25335
99,34,2025-09-22,74.8,1.43,106.96,24766
100,24,2025-03-06,72.5,1.52,110.2,66624
101,8,2025-01-16,43.5,1.26,54.81,46181
102,5,2025-05-15,69.9,1.35,94.37,14155
103,32,2025-08-22,55.8,1.03,57.47,69789
104,37,2025-03-27,45.7,1.15,52.55,6813
105,37,2025-12-12,70.6,1.14,80.48,33416
106,1,2025-01-23,80.1,1.01,80.9,6371
107,31,2025-07-06,46.8,1.09,51.01,71694
108,3,2025-10-11,76.2,1.43,108.97,49487
109,27,2025-04-25,42.5,1.25,53.12,64163
110,21,2025-05-19,77.8,1.34,104.25,11311
111,33,2025-12-11,83.1,1.11,92.24,63831
112,34,2025-01-24,86.8,1.04,90.27,44304
113,19,2025-06-09,42.9,1.33,57.06,4275
114,24,2025-04-13,40.4,1.47,59.39,67059
115,40,2025-05-05,52.5,1.36,71.4,51474
116,50,2025-04-11,71.3,1.33,94.83,63399
117,16,2025-03-19,20.4,1.25,25.5,28356
118,35,2025-06-27,64.5,1.42,91.59,3836
119,22,2025-01-01,73.1,1.23,89.91,60622
120,47,2025-06-07,27.3,1.32,36.04,20777
121,27,2025-09-09,87.3,1.58,137.93,26289
122,46,2025-05-24,26.5,1.55,41.08,67494
123,34,2025-07-31,69.1,1.22,84.3,62838
124,6,2025-10-25,26.7,1.08,28.84,56906
125,26,2025-02-08,61.4,1.04,63.86,61084
126,9,2025-05-02,40.4,1.51,61.0,55096
127,26,2025-12-25,78.2,1.2,93.84,47342
128,18,2025-04-30,25.2,1.12,28.22,63617
