maintenance_id,vehicle_id,service_date,service_type,cost_azn,downtime_hours
1,39,2025-07-11,Engine Repair,643.67,43.9
2,49,2025-10-03,AC Service,611.12,11.3
3,16,2025-12-15,AC Service,552.4,38.0
4,34,2025-08-17,Battery Replacement,645.24,4.7
5,37,2025-02-27,Oil Change,752.75,43.4
6,13,2025-10-21,Battery Replacement,168.87,16.4
7,34,2025-08-15,Oil Change,625.05,34.7
8,32,2025-02-16,Battery Replacement,423.12,3.6
9,9,2025-09-20,Engine Repair,432.85,3.7
10,30,2025-12-11,AC Service,305.03,2.0
11,17,2025-01-02,Scheduled Inspection,227.4,4.4
12,28,2025-06-26,Scheduled Inspection,94.83,47.7
13,5,2025-08-30,Oil Change,286.9,9.5
14,9,2025-11-25,Scheduled Inspection,595.46,20.8
15,25,2025-08-18,AC Service,828.72,18.7
16,6,2025-12-16,Scheduled Inspection,792.12,7.3
17,23,2025-03-02,Tire Replacement,893.85,19.5
18,9,2025-04-25,AC Service,42.99,2.1
19,20,2025-08-26,Scheduled Inspection,658.42,20.9
20,25,2025-04-28,Tire Replacement,436.14,8.3
21,13,2025-02-27,Oil Change,736.15,20.7
22,50,2025-01-09,Tire Replacement,217.23,5.7
23,3,2025-08-17,Battery Replacement,617.94,42.0
24,16,2025-01-23,Engine Repair,417.51,26.4
25,49,2025-01-29,Tire Replacement,473.35,14.6
26,47,2025-10-22,Brake Service,536.63,37.3
27,21,2025-05-02,Brake Service,793.58,47.3
28,34,2025-04-24,Engine Repair,298.43,3.9
29,38,2025-03-31,Scheduled Inspection,623.73,27.1
30,4,2025-06-26,Scheduled Inspection,617.35,37.9
31,21,2025-12-23,Engine Repair,391.1,15.1
32,12,2025-10-03,Engine Repair,247.23,11.6
33,46,2025-03-15,AC Service,438.2,3.7
34,27,2025-08-02,Battery Replacement,495.79,19.3
35,17,2025-04-15,Brake Service,596.17,44.3
36,24,2025-02-17,Battery Replacement,663.14,10.0
37,18,2025-07-13,Scheduled Inspection,560.27,2.9
38,5,2025-04-07,AC Service,695.06,35.0
39,36,2025-04-22,Engine Repair,219.64,43.6
40,20,2025-01-08,Tire Replacement,845.96,46.2
41,8,2025-09-03,Tire Replacement,638.24,34.1
42,26,2025-05-03,Battery Replacement,316.59,14.3
43,30,2025-10-01,Scheduled Inspection,348.96,13.3
44,33,2025-09-12,Engine Repair,124.8,47.1
45,31,2025-06-13,Tire Replacement,358.81,20.5
46,37,2025-04-24,Scheduled Inspection,165.49,13.3
47,38,2025-10-24,Scheduled Inspection,399.12,8.2
48,22,2025-04-28,Engine Repair,530.02,12.5
49,36,2025-12-02,Scheduled Inspection,330.31,36.9
50,32,2025-11-25,Scheduled Inspection,461.91,8.9
51,23,2025-03-28,Tire Replacement,659.47,24.0
52,35,2025-11-25,Oil Change,490.59,40.4
53,5,2025-12-09,Oil Change,697.33,20.4
54,41,2025-04-29,Oil Change,648.17,1.4
55,33,2025-08-22,Brake Service,91.99,31.0
56,40,2025-09-05,Scheduled Inspection,459.55,1.3
57,36,2025-07-30,Oil Change,54.38,34.9
58,35,2025-05-27,Oil Change,471.91,33.8
59,28,2025-04-02,Oil Change,829.52,25.6
60,16,2025-04-09,Battery Replacement,492.75,39.3
61,18,2025-07-23,Oil Change,360.82,20.1
62,37,2025-05-05,Scheduled Inspection,234.24,33.1
63,6,2025-12-01,AC Service,598.91,2.5
64,26,2025-07-14,Engine Repair,515.32,3.6
65,1,2025-12-26,Tire Replacement,111.11,40.7
66,42,2025-06-19,Battery Replacement,880.5,46.8
67,34,2025-01-22,Tire Replacement,221.82,41.8
68,37,2025-09-01,Brake Service,80.04,4.5
69,18,2025-10-06,Battery Replacement,605.97,9.4
70,21,2025-01-09,Tire Replacement,544.85,36.4
71,46,2025-07-23,Oil Change,297.38,27.5
72,37,2025-07-19,Scheduled Inspection,811.01,16.6
73,49,2025-03-13,AC Service,890.09,35.0
74,33,2025-06-27,Oil Change,124.01,11.9
75,5,2025-06-24,Battery Replacement,701.34,45.9
76,26,2025-06-17,Oil Change,585.35,37.8
77,29,2025-09-09,Tire Replacement,346.0,45.2
78,28,2025-04-06,Scheduled Inspection,543.85,18.9
79,50,2025-11-13,Brake Service,726.33,34.5
80,6,2025-05-18,Tire Replacement,366.8,37.8
81,10,2025-07-19,Brake Service,350.2,5.3
82,20,2025-08-16,Brake Service,694.76,5.8
83,6,2025-04-06,Engine Repair,426.01,27.1
84,27,2025-02-22,Oil Change,117.07,27.0
85,39,2025-11-03,AC Service,319.01,19.1
86,19,2025-07-31,Engine Repair,710.09,35.1
87,36,2025-05-05,Battery Replacement,488.15,33.2
88,11,2025-03-13,Brake Service,298.97,24.2
89,5,2025-03-27,Engine Repair,277.33,15.1
90,5,2025-07-04,Brake Service,852.03,34.9
91,32,2025-11-01,Battery Replacement,208.17,6.0
92,20,2025-01-04,Engine Repair,325.71,30.1
93,22,2025-08-14,Brake Service,410.33,39.7
94,42,2025-11-01,Tire Replacement,298.37,29.4
95,45,2025-04-13,Engine Repair,310.2,46.3
96,21,2025-05-30,Scheduled Inspection,637.66,24.1
97,37,2025-05-05,Brake Service,363.41,39.4
98,26,2025-07-06,Oil Change,841.58,10.4
99,35,2025-04-03,Scheduled Inspection,700.15,2.3
100,47,2025-08-25,Scheduled Inspection,220.3,38.5
