trip_id,vehicle_id,driver_id,trip_date,origin_city,destination_city,distance_km,duration_min
1,23,4,2025-06-06,Baku,Lankaran,371.9,426
2,13,13,2025-07-24,Sumgait,Sumgait,157.8,181
3,42,9,2025-09-18,Sumgait,Baku,188.9,207
4,8,5,2025-05-14,Baku,Baku,92.7,103
5,39,7,2025-08-11,Shaki,Shaki,165.4,196
6,8,1,2025-07-17,Lankaran,Mingachevir,406.3,628
7,1,12,2025-09-24,Lankaran,Lankaran,417.6,547
8,43,11,2025-04-11,Sumgait,Shaki,173.4,286
9,21,5,2025-12-06,Shaki,Sumgait,383.9,466
10,43,9,2025-07-29,Ganja,Ganja,156.9,192
11,27,15,2025-12-07,Ganja,Shaki,424.1,524
12,37,5,2025-06-04,Sumgait,Ganja,191.6,222
13,28,8,2025-10-24,Mingachevir,Lankaran,278.9,404
14,14,13,2025-09-19,Lankaran,Ganja,220.8,250
15,43,10,2025-02-13,Sumgait,Baku,138.4,172
16,49,4,2025-05-01,Ganja,Baku,307.7,467
17,3,13,2025-05-06,Baku,Mingachevir,443.0,563
18,27,7,2025-11-19,Mingachevir,Mingachevir,265.4,323
19,16,13,2025-03-17,Baku,Mingachevir,300.4,513
20,15,8,2025-04-01,Baku,Shaki,364.8,447
21,16,11,2025-03-04,Shaki,Shaki,213.6,251
22,39,10,2025-06-12,Lankaran,Shaki,428.3,486
23,28,14,2025-10-08,Mingachevir,Mingachevir,209.0,328
24,17,13,2025-05-07,Shaki,Mingachevir,380.3,563
25,41,5,2025-05-03,Ganja,Sumgait,134.4,221
26,22,3,2025-06-13,Ganja,Mingachevir,403.5,661
27,45,7,2025-03-20,Sumgait,Shaki,322.3,533
28,30,7,2025-08-01,Shaki,Lankaran,42.1,49
29,2,6,2025-10-22,Sumgait,Mingachevir,180.5,308
30,27,10,2025-10-03,Ganja,Mingachevir,340.2,444
31,15,6,2025-05-20,Lankaran,Lankaran,204.6,345
32,26,10,2025-03-26,Shaki,Baku,380.6,428
33,26,11,2025-10-31,Mingachevir,Ganja,260.5,440
34,30,4,2025-04-04,Mingachevir,Sumgait,36.9,52
35,22,7,2025-07-14,Sumgait,Baku,136.0,151
36,31,6,2025-01-10,Ganja,Lankaran,340.8,567
37,5,4,2025-11-30,Ganja,Baku,32.5,55
38,40,2,2025-03-20,Shaki,Ganja,118.8,160
39,30,10,2025-12-25,Shaki,Lankaran,126.5,179
40,46,5,2025-02-28,Baku,Shaki,353.3,554
41,2,7,2025-06-09,Mingachevir,Lankaran,265.5,300
42,13,4,2025-02-08,Baku,Lankaran,272.6,317
43,50,2,2025-06-04,Shaki,Baku,384.9,491
44,23,9,2025-09-30,Lankaran,Sumgait,201.3,285
45,1,6,2025-08-04,Lankaran,Mingachevir,372.7,603
46,46,11,2025-03-20,Sumgait,Shaki,204.4,247
47,35,10,2025-09-05,Sumgait,Sumgait,217.2,253
48,16,13,2025-02-14,Mingachevir,Shaki,136.3,186
49,40,14,2025-12-09,Sumgait,Ganja,179.9,303
50,32,5,2025-04-19,Shaki,Lankaran,169.3,253
51,18,2,2025-10-12,Ganja,Lankaran,19.4,22
52,27,8,2025-09-08,Lankaran,Lankaran,256.5,387
53,32,4,2025-08-18,Mingachevir,Lankaran,359.9,586
54,16,9,2025-06-06,Shaki,Sumgait,303.8,430
55,28,5,2025-10-09,Sumgait,Sumgait,158.9,194
56,15,12,2025-03-03,Shaki,Lankaran,328.8,478
57,12,12,2025-04-09,Shaki,Shaki,109.1,146
58,39,5,2025-05-25,Ganja,Sumgait,441.5,513
59,12,5,2025-06-04,Baku,Baku,21.2,28
60,36,14,2025-05-30,Mingachevir,Baku,318.4,509
61,1,6,2025-10-21,Ganja,Baku,138.7,187
62,17,8,2025-09-02,Baku,Shaki,64.6,107
63,41,10,2025-12-18,Sumgait,Baku,38.3,60
64,16,10,2025-03-02,Shaki,Ganja,257.8,357
65,50,5,2025-09-25,Shaki,Mingachevir,180.5,204
66,20,12,2025-10-19,Baku,Ganja,285.1,362
67,41,4,2025-04-19,Ganja,Shaki,130.1,213
68,5,10,2025-03-22,Mingachevir,Sumgait,16.2,22
69,3,14,2025-04-29,Mingachevir,Baku,140.3,207
70,44,11,2025-04-30,Shaki,Lankaran,416.9,493
71,13,3,2025-08-06,Sumgait,Ganja,64.9,99
72,5,12,2025-01-31,Shaki,Sumgait,87.2,127
73,29,7,2025-03-05,Sumgait,Shaki,218.9,320
74,35,15,2025-09-10,Mingachevir,Lankaran,205.4,262
75,21,11,2025-11-06,Shaki,Shaki,123.9,202
76,2,13,2025-12-11,Ganja,Mingachevir,372.3,480
77,34,10,2025-11-30,Mingachevir,Lankaran,207.4,307
78,32,6,2025-02-16,Lankaran,Baku,219.5,305
79,11,11,2025-06-18,Mingachevir,Shaki,194.1,259
80,3,2,2025-08-21,Mingachevir,Shaki,53.3,80
81,1,1,2025-12-03,Ganja,Shaki,393.2,533
82,24,13,2025-11-15,Baku,Ganja,344.1,435
83,18,15,2025-10-09,Lankaran,Mingachevir,72.0,106
84,8,4,2025-01-15,Lankaran,Ganja,438.3,557
85,20,4,2025-10-10,Baku,Mingachevir,20.9,29
86,8,12,2025-11-28,Sumgait,Shaki,377.0,503
87,46,8,2025-05-20,Ganja,Mingachevir,195.7,263
88,36,9,2025-03-16,Lankaran,Ganja,181.9,204
89,5,6,2025-05-22,Shaki,Sumgait,351.1,404
90,1,10,2025-05-25,Lankaran,Mingachevir,330.8,384
91,10,9,2025-08-17,Shaki,Mingachevir,249.3,357
92,30,4,2025-06-14,Shaki,Mingachevir,393.3,432
93,15,12,2025-07-30,Mingachevir,Mingachevir,34.0,41
94,43,1,2025-11-30,Ganja,Shaki,441.7,590
95,38,8,2025-06-19,Baku,Shaki,393.3,450
96,30,11,2025-01-08,Ganja,Baku,329.3,457
97,31,11,2025-05-16,Baku,Sumgait,162.3,199
98,44,12,2025-10-01,Mingachevir,Shaki,180.3,262
99,3,15,2025-11-13,Sumgait,Ganja,44.8,56
100,48,11,2025-02-16,Lankaran,Baku,203.8,331
101,29,1,2025-03-27,Sumgait,Baku,316.9,358
102,19,9,2025-07-03,Mingachevir,Shaki,178.1,282
103,44,14,2025-04-03,Mingachevir,Shaki,88.9,146
104,44,4,2025-05-04,Mingachevir,Lankaran,231.5,298
105,17,13,2025-08-24,Mingachevir,Sumgait,126.1,215
106,44,6,2025-10-07,Shaki,Sumgait,83.7,115
107,41,5,2025-08-06,Ganja,Mingachevir,315.3,429
108,31,10,2025-02-24,Sumgait,Lankaran,118.2,153
109,19,5,2025-01-12,Baku,Shaki,440.4,549
110,44,14,2025-01-26,Sumgait,Ganja,411.1,494
111,39,5,2025-06-30,Lankaran,Lankaran,110.3,171
112,50,2,2025-12-04,Lankaran,Lankaran,311.2,495
113,3,6,2025-06-08,Lankaran,Ganja,358.0,602
114,6,4,2025-06-01,Ganja,Shaki,157.1,218
115,24,3,2025-09-29,Sumgait,Mingachevir,233.3,346
116,19,2,2025-06-23,Ganja,Ganja,364.8,493
117,44,13,2025-12-12,Shaki,Sumgait,441.3,487
118,6,8,2025-07-22,Sumgait,Lankaran,21.1,28
119,48,11,2025-12-11,Sumgait,Baku,129.0,182
120,44,9,2025-04-30,Sumgait,Shaki,220.1,279
121,15,15,2025-11-28,Lankaran,Sumgait,42.5,50
122,42,1,2025-07-29,Sumgait,Mingachevir,65.8,110
123,8,7,2025-02-19,Mingachevir,Sumgait,117.1,154
124,43,12,2025-12-23,Lankaran,Ganja,426.5,590
125,27,7,2025-12-02,Sumgait,Baku,58.1,78
126,45,4,2025-07-09,Sumgait,Baku,109.5,150
127,44,6,2025-07-08,Baku,Mingachevir,251.8,277
128,18,14,2025-04-08,Mingachevir,Baku,436.2,485
129,43,1,2025-04-19,Baku,Sumgait,294.1,376
130,16,14,2025-03-06,Shaki,Ganja,357.3,548
131,38,13,2025-04-21,Ganja,Shaki,368.7,558
132,1,3,2025-05-22,Shaki,Sumgait,388.4,615
133,12,1,2025-02-26,Sumgait,Ganja,302.6,511
134,38,3,2025-06-15,Lankaran,Mingachevir,21.9,33
135,34,13,2025-02-28,Sumgait,Shaki,339.4,457
136,38,10,2025-02-25,Baku,Lankaran,211.6,322
137,43,1,2025-09-24,Baku,Mingachevir,146.2,183
138,26,15,2025-08-07,Mingachevir,Baku,313.5,420
139,6,5,2025-06-14,Shaki,Lankaran,279.6,462
140,38,10,2025-10-08,Shaki,Sumgait,324.8,457
141,30,12,2025-09-16,Baku,Lankaran,278.4,452
142,42,8,2025-10-10,Ganja,Mingachevir,328.6,502
143,22,6,2025-08-21,Mingachevir,Sumgait,188.4,228
144,43,15,2025-05-11,Mingachevir,Baku,177.8,280
145,6,12,2025-02-13,Sumgait,Ganja,55.6,90
146,36,6,2025-01-31,Lankaran,Baku,270.1,351
147,27,7,2025-07-01,Lankaran,Baku,395.0,440
148,19,9,2025-11-04,Ganja,Ganja,150.9,244
149,43,14,2025-09-04,Shaki,Sumgait,112.5,182
150,8,14,2025-05-23,Shaki,Shaki,264.7,311
