vehicle_id,plate_number,make,model,year,fuel_type,purchase_date,home_city,odometer_start_km
1,10-125-CB,Renault,Master,2019,Diesel,2019-08-17,Ganja,3358
2,10-658-AE,Renault,Master,2023,Petrol,2023-02-25,Baku,976
3,10-338-EE,Ford,Transit,2020,Diesel,2020-03-23,Shaki,6515
4,10-818-ED,Renault,Master,2022,Diesel,2022-08-23,Mingachevir,19309
5,10-990-AB,Volkswagen,Crafter,2023,Petrol,2023-07-16,Sumgait,9105
6,10-881-CA,Mercedes-Benz,Sprinter,2020,Diesel,2020-03-16,Mingachevir,3169
7,10-452-EC,Volkswagen,Crafter,2023,Diesel,2023-10-02,Lankaran,15054
8,10-487-AE,Iveco,Daily,2019,Petrol,2019-09-13,Lankaran,11850
9,10-821-AA,Iveco,Daily,2020,Diesel,2020-01-29,Sumgait,2614
10,10-203-DC,Mercedes-Benz,Sprinter,2023,Petrol,2023-11-10,Lankaran,11954
11,10-463-BC,Mercedes-Benz,Sprinter,2021,Diesel,2021-01-28,Shaki,5607
12,10-350-BD,Iveco,Daily,2023,Petrol,2023-02-02,Sumgait,18250
13,10-432-AB,Mercedes-Benz,Sprinter,2022,Diesel,2022-11-03,Sumgait,13145
14,10-316-EC,Volkswagen,Crafter,2019,Diesel,2019-05-16,Lankaran,16358
15,10-758-DB,Toyota,Hiace,2023,Petrol,2023-12-17,Ganja,8081
16,10-651-CE,Renault,Master,2022,Petrol,2022-02-23,Shaki,13087
17,10-241-ED,Volkswagen,Crafter,2020,Diesel,2020-03-25,Baku,3592
18,10-263-DE,Mercedes-Benz,Sprinter,2022,Diesel,2022-07-09,Mingachevir,12504
19,10-641-CE,Iveco,Daily,2021,Diesel,2021-08-16,Lankaran,3753
20,10-649-CC,Renault,Master,2023,Diesel,2023-12-18,Sumgait,14246
21,10-103-CE,Mercedes-Benz,Sprinter,2021,Diesel,2021-07-18,Shaki,3486
22,10-961-EE,Renault,Master,2020,Diesel,2020-09-03,Ganja,12252
23,10-897-EA,Mercedes-Benz,Sprinter,2022,Petrol,2022-01-09,Mingachevir,638
24,10-471-CB,Ford,Transit,2024,Diesel,2024-03-17,Ganja,18591
25,10-849-DA,Ford,Transit,2019,Diesel,2019-06-25,Ganja,15574
26,10-371-EE,Iveco,Daily,2019,Petrol,2019-12-05,Ganja,17671
27,10-305-CD,Renault,Master,2022,Petrol,2022-11-13,Mingachevir,16959
28,10-353-BA,Toyota,Hiace,2019,Petrol,2019-09-05,Baku,19277
29,10-702-BA,Iveco,Daily,2020,Diesel,2020-04-16,Lankaran,1929
30,10-132-CA,Mercedes-Benz,Sprinter,2019,Diesel,2019-05-19,Sumgait,15906
31,10-235-EE,Mercedes-Benz,Sprinter,2022,Petrol,2022-01-09,Ganja,15498
32,10-196-AD,Toyota,Hiace,2020,Petrol,2020-01-25,Mingachevir,13470
33,10-846-AA,Toyota,Hiace,2023,Diesel,2023-11-05,Mingachevir,11118
34,10-296-BE,Ford,Transit,2020,Petrol,2020-05-24,Ganja,13824
35,10-573-BA,Mercedes-Benz,Sprinter,2020,Petrol,2020-07-24,Shaki,3208
36,10-653-AA,Ford,Transit,2022,Diesel,2022-08-28,Ganja,13317
37,10-318-DA,Toyota,Hiace,2021,Diesel,2021-09-12,Mingachevir,70
38,10-902-DC,Toyota,Hiace,2020,Petrol,2020-06-27,Lankaran,18211
39,10-598-BB,Renault,Master,2023,Petrol,2023-01-11,Ganja,1916
40,10-655-AC,Iveco,Daily,2023,Diesel,2023-02-15,Baku,19142
41,10-973-EB,Toyota,Hiace,2021,Diesel,2021-10-26,Shaki,2625
42,10-709-AB,Mercedes-Benz,Sprinter,2019,Petrol,2019-05-21,Baku,18667
43,10-708-AE,Mercedes-Benz,Sprinter,2022,Diesel,2022-03-31,Mingachevir,19125
44,10-423-CB,Iveco,Daily,2021,Petrol,2021-12-06,Ganja,8703
45,10-787-CD,Toyota,Hiace,2019,Petrol,2019-09-26,Baku,305
46,10-676-AA,Toyota,Hiace,2022,Diesel,2022-06-26,Shaki,8690
47,10-457-AB,Mercedes-Benz,Sprinter,2024,Petrol,2024-03-26,Sumgait,5169
48,10-656-CE,Toyota,Hiace,2023,Diesel,2023-09-04,Lankaran,18173
49,10-779-AB,Volkswagen,Crafter,2024,Petrol,2024-03-23,Baku,3507
50,10-259-CC,Renault,Master,2022,Diesel,2022-02-07,Lankaran,11235
